Title,Content
CONCLUSIONS	( A Randomised Comparison of the Risks , Benefits and Cost Effectiveness of Primary Carotid Stenting With Carotid Endarterectomy : International Carotid Stenting Study ; ISRCTN25337470 ) ."
Misoprostol is established for the treatment of incomplete abortion ,"BACKGROUND	Misoprostol is established for the treatment of incomplete abortion but has not been systematically assessed when provided by midwives at district level in a low-resource setting .
BACKGROUND	We investigated the effectiveness and safety of midwives diagnosing and treating incomplete abortion with misoprostol , compared with physicians .
METHODS	We did a multicentre randomised controlled equivalence trial at district level at six facilities in Uganda .
METHODS	Eligibility criteria were women with signs of incomplete abortion .
METHODS	We randomly allocated women with first-trimester incomplete abortion to clinical assessment and treatment with misoprostol either by a physician or a midwife .
METHODS	The randomisation ( 1:1 ) was done in blocks of 12 and was stratified for study site .
METHODS	Primary outcome was complete abortion not needing surgical intervention within 14-28 days after initial treatment .
METHODS	The study was not masked .
METHODS	Analysis of the primary outcome was done on the per-protocol population with a generalised linear-mixed effects model .
METHODS	The predefined equivalence range was -4 % to 4 % .
METHODS	The trial was registered at ClinicalTrials.gov , number NCT01844024 .
RESULTS	From April 30 , 2013 , to July 21 , 2014 , 1108 women were assessed for eligibility .
RESULTS	1010 women were randomly assigned to each group ( 506 to midwife group and 504 to physician group ) .
RESULTS	955 women ( 472 in the midwife group and 483 in the physician group ) were included in the per-protocol analysis .
RESULTS	452 ( 958 % ) of women in the midwife group had complete abortion and 467 ( 967 % ) in the physician group .
RESULTS	The model-based risk difference for midwife versus physician group was -08 % ( 95 % CI -29 to 14 ) , falling within the predefined equivalence range ( -4 % to 4 % ) .
RESULTS	The overall proportion of women with incomplete abortion was 38 % ( 36/955 ) , similarly distributed between the two groups ( 42 % [ 20/472 ] in the midwife group , 33 % [ 16/483 ] in the physician group ) .
RESULTS	No serious adverse events were recorded .
CONCLUSIONS	Diagnosis and treatment of incomplete abortion with misoprostol by midwives is equally safe and effective as when provided by physicians , in a low-resource setting .
CONCLUSIONS	Scaling up midwives ' involvement in treatment of incomplete abortion with misoprostol at district level would increase access to safe post-abortion care .
BACKGROUND	The Swedish Research Council , Karolinska Institutet , and Dalarna University ."
Much of the existing literature on physical activity ( PA ) interventions,"BACKGROUND	Much of the existing literature on physical activity ( PA ) interventions involves physically inactive individuals recruited from community settings rather than clinical practice settings .
BACKGROUND	Recruitment of patients into interventions in clinical practice settings is difficult due to limited time available in the clinic , identification of appropriate personnel to efficiently conduct the process , and time-consuming methods of recruitment .
BACKGROUND	The purpose of this report is to describe the approach used to identify and recruit veterans from the Veterans Affairs ( VA ) Pittsburgh Healthcare System Primary Care Clinic into a randomized controlled PA study .
METHODS	A sampling frame of veterans was developed using the VA electronic medical record .
METHODS	During regularly scheduled clinic appointments , primary care providers ( PCPs ) screened identified patients for safety to engage in moderate-intensity PA and willingness to discuss the study with research staff members .
METHODS	Research staff determined eligibility with a subsequent telephone screening call and scheduled a research study appointment , at which time signed informed consent and baseline measurements were obtained .
RESULTS	Of the 3,482 veterans in the sampling frame who were scheduled for a primary care appointment during the study period , 1,990 ( 57.2 % ) were seen in the clinic and screened by the PCP ; moderate-intensity PA was deemed safe for 1,293 ( 37.1 % ) , 871 ( 25.0 % ) agreed to be contacted for further screening , 334 ( 9.6 % ) were eligible for the study , and 232 ( 6.7 % ) enrolled .
CONCLUSIONS	Using a semiautomated screening approach that combined an electronically-derived sampling frame with paper and pencil prescreening by PCPs and research staff , VA-STRIDE was able to recruit 1 in 15 veterans in the sampling frame .
CONCLUSIONS	Using this approach , a high proportion of potentially eligible veterans were screened by their PCPs .
BACKGROUND	Clinical trials.gov identifier : NCT00731094 ."
Postnatal common mental disorders among women are an important public health problem internationally,"BACKGROUND	Postnatal common mental disorders among women are an important public health problem internationally .
BACKGROUND	Interventions to prevent postnatal depression have had limited success .
BACKGROUND	What Were We Thinking ( WWWT ) is a structured , gender-informed , psychoeducational group programme for parents and their first infant that addresses two modifiable risks to postnatal mental health .
BACKGROUND	This paper describes the protocol for a cluster randomised controlled trial to test the clinical effectiveness and cost-effectiveness of WWWT when implemented in usual primary care .
METHODS	48 maternal and child health ( MCH ) centres from six diverse Local Government Areas , in Victoria , Australia are randomly allocated to the intervention group ( usual care plus WWWT ) or the control group ( usual care ) .
METHODS	The required sample size is 184 women in each group .
METHODS	English-speaking primiparous women receiving postpartum healthcare in participating MCH centres complete two computer-assisted telephone interviews : baseline at 4weeks and outcome at 6months postpartum .
METHODS	Women attending intervention MCH centres are invited to attend WWWT in addition to usual care .
METHODS	The primary outcome is meeting Diagnostic and Statistical Manual-IV ( DSM-IV ) diagnostic criteria for major depressive episode ; generalised anxiety disorder ; panic disorder with or without agoraphobia , agoraphobia with or without panic , social phobia , adult separation anxiety or adjustment disorder with depressed mood , anxiety or mixed depressed mood and anxiety within the past 30days at 6months postpartum .
METHODS	Secondary outcomes are self-rated general and emotional health , infant sleep problems , method of infant feeding , quality of mother-infant relationship and intimate partner relationship , and healthcare costs and outcomes .
BACKGROUND	Approval to conduct the study has been granted .
BACKGROUND	A comprehensive dissemination plan has been devised .
BACKGROUND	Australian New Zealand Clinical Trials Registry ACTRN12613000506796 .
BACKGROUND	UTN : U1111-1125-8208 ."
